City_ID,City,Country,Max Temp,Humidity,Cloudiness,Lat,Lng,Hotel Name
0,Ushuaia,AR,49.66,81,75,-54.8,-68.3,Albatross Hotel
10,Great Bend,US,33.62,81,0,38.3645,-98.7648,Best Western Angus Inn
13,Grenada,ES,48.18,77,0,37.1882,-3.6067,HOTEL REINA CRISTINA
30,Bjaeverskov,DK,41.68,75,11,55.4576,12.0365,Allan Lund Tyllesen
33,Kruszwica,PL,38.32,100,95,52.6756,18.3313,Ośrodek Szkolenia Żeglarskiego: Pole Namiotowe
41,Vilanova Del Cami,ES,49.53,62,0,41.5717,1.6375,Hotel Amèrica
48,Cananea,MX,49.78,25,96,30.95,-110.3,Casas Montoya
50,Castlegar,CA,30.88,100,76,49.2998,-117.6689,Cozy Pines Motel
57,Mao,ES,45.16,100,0,39.8885,4.2658,ARTIEM Capri
62,Sarakhs,IR,46.92,79,0,36.5449,61.1577,مهمان سرای شرکت گاز
66,Bethel,US,30.56,75,20,41.3712,-73.414,Courtyard by Marriott Danbury
69,Sabratah,LY,48.47,63,0,32.7933,12.4885,شقق مفروش شمس الاصيل
73,Nakur,IN,45.52,69,0,29.9167,77.3,Jain Dharmsala
76,Nikolskoye,RU,30.87,96,100,59.7035,30.7861,Tourist House - Sablino
79,Liverpool,GB,43.83,93,100,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
82,Salamanca,ES,30.99,58,0,40.8333,-6.0,Palacio Carrascalino
88,Texarkana,US,44.82,50,100,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
89,Jiangyou,CN,44.62,73,100,31.7667,104.7167,Shangping Shuyuan Inn
91,Kodiak,US,35.11,80,100,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
112,Analipsis,GR,44.94,66,28,35.3167,25.5667,Castello Village Resort
132,Tabas,IR,49.46,51,2,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
141,Lata,PT,47.05,69,0,40.1629,-8.3327,Casa Maquia
142,Ihlow,DE,41.31,70,75,51.8833,13.3333,Heumann
146,Briancon,FR,31.35,53,20,44.9,6.65,Auberge de la Paix
158,Ziro,IN,36.34,80,7,27.6333,93.8333,Ka-ngam homestay
161,Auray,FR,49.55,96,100,47.6703,-2.9918,Best Western Auray hotel du Loch
168,Debica,PL,37.78,90,100,50.0515,21.4114,Hotel Lord
180,Scarborough,GB,38.91,84,100,54.2797,-0.4044,The Grand Hotel Scarborough
187,Jiexiu,CN,32.88,65,100,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
191,Fortuna,US,47.32,90,0,40.5982,-124.1573,Super 8 by Wyndham Fortuna
193,Katsuura,JP,46.44,95,100,35.1333,140.3,Katsuura Hotel Mikazuki
197,Vila,PT,39.33,79,0,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
215,Waddan,LY,42.42,63,2,29.1614,16.139,محل الشريف محمد العايب
221,North Bend,US,46.85,94,0,43.4065,-124.2243,Red Lion Hotel Coos Bay
223,Roald,NO,37.54,60,100,62.5833,6.1333,Flem Cabins
239,Mansa,IN,46.42,61,0,29.9833,75.3833,STARiHOTEL Mansa
242,Husavik,IS,37.31,78,100,66.0449,-17.3389,Bjarnabúð
243,Beckley,US,32.49,52,100,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
251,Bud,US,30.9,83,100,39.447,-86.1758,Ted McQuinn Trust
255,Honningsvag,NO,30.36,61,100,70.9821,25.9704,Nordkapp Vandrerhjem
266,Slonim,BY,33.6,97,100,53.0867,25.3219,Hostel on Brestskaya 107
277,Olafsvik,IS,36.48,98,100,64.8945,-23.7142,Hotel Olafsvik
279,Gat,IL,47.39,100,100,31.61,34.7642,OlusHome
288,Lexington,US,34.56,49,100,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
296,Velke Mezirici,CZ,38.55,37,99,49.3552,16.0122,"Jelínkova vila - hotel, restaurace a pivovar"
298,Balkanabat,TM,41.38,91,100,39.5108,54.3671,Nebitchi Hotel
302,Susangerd,IR,44.62,47,0,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
311,Lefka,CY,44.89,65,26,35.1106,32.8506,Direk Hotel
313,Kijang,KR,42.53,16,26,35.2442,129.2139,Samyang Beach Villa
315,Northam,GB,41.09,85,70,51.0333,-4.2167,Durrant House Hotel
323,Aswan,EG,42.1,52,0,24.0934,32.907,Nuba Nile
337,Langres,FR,31.19,97,98,47.8333,5.3333,Le Belvédère des Remparts
344,Klaksvik,FO,43.72,86,100,62.2266,-6.589,Airbnb rooms
347,Tallahassee,US,49.51,86,80,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
348,Jonesboro,US,38.01,47,100,35.8423,-90.7043,Hilton Garden Inn Jonesboro
350,Abha,SA,49.82,93,5,18.2164,42.5053,Abha Hotel
354,Asau,RO,32.92,90,96,46.4333,26.4,Casa Mika Ciobanus
357,Chantada,ES,42.4,98,53,42.6088,-7.7712,Mogay
364,Portland,US,42.17,66,33,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
366,Seoul,KR,33.19,43,0,37.5683,126.9778,LOTTE Hotel Seoul
373,Mashhad,IR,46.54,66,0,36.297,59.6062,Khanye Sabz Hotel
374,Saint-Francois,FR,30.67,93,100,46.4154,3.9054,Manoir Du Bonheur
384,Hofn,IS,42.08,94,100,64.2539,-15.2082,Hótel Höfn
390,Aliquippa,US,32.29,80,100,40.6367,-80.2401,Forest Brook Mobile Home Park
396,Stromness,GB,40.96,78,100,58.965,-3.296,The Old Smokery
399,Cookeville,US,35.98,71,100,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
402,Vestmanna,FO,41.92,81,75,62.1564,-7.1664,Vestmanna Camping
405,Munster,DE,41.76,86,20,51.9624,7.6257,Stadthotel Münster
407,Esfarayen,IR,34.38,90,100,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
415,Garmsar,IR,37.92,51,9,35.2182,52.3409,آذین فوم
417,Chateau-Gontier,FR,43.52,97,92,47.8333,-0.7,Logis Parc Hôtel & Spa
420,Hamilton,US,34.09,83,100,39.1834,-84.5333,Six Acres Bed & Breakfast
422,Saint George,US,46.26,27,0,37.1041,-113.5841,Best Western Plus Abbey Inn
