City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shingu,JP,2022-01-26 00:05:46,33.7333,135.9833,47.34,58,21,4.54
1,Lompoc,US,2022-01-26 00:03:32,34.6391,-120.4579,66.78,77,0,12.66
2,Hilo,US,2022-01-26 00:00:22,19.7297,-155.09,77.11,75,18,8.01
3,Tiksi,RU,2022-01-26 00:05:46,71.6872,128.8694,-6.95,94,100,10.89
4,Saldanha,ZA,2022-01-26 00:01:32,-33.0117,17.9442,63.03,88,0,17.45
5,Warwick,US,2022-01-26 00:05:46,41.7001,-71.4162,37.92,66,100,13.8
6,Punta Arenas,CL,2022-01-25 23:59:29,-53.15,-70.9167,51.91,50,40,26.46
7,Rikitea,PF,2022-01-25 23:59:27,-23.1203,-134.9692,78.57,75,100,17.45
8,Lagoa,PT,2022-01-26 00:03:43,39.05,-27.9833,58.62,81,92,8.9
9,North Bend,US,2022-01-26 00:05:47,43.4065,-124.2243,59.92,100,9,7.65
10,Bhabua,IN,2022-01-26 00:05:47,25.05,83.6167,50.27,66,0,5.01
11,Bambous Virieux,MU,2022-01-26 00:03:24,-20.3428,57.7575,73.22,69,72,14.61
12,Villa Carlos Paz,AR,2022-01-26 00:05:47,-31.4241,-64.4978,78.24,96,56,2.1
13,Byron Bay,AU,2022-01-26 00:03:30,-28.65,153.6167,77.11,89,100,5.21
14,Maragogi,BR,2022-01-26 00:05:47,-9.0122,-35.2225,79.95,77,35,9.4
15,Pevek,RU,2022-01-26 00:04:38,69.7008,170.3133,-32.12,100,80,3.11
16,Touros,BR,2022-01-26 00:05:48,-5.1989,-35.4608,80.82,76,100,12.84
17,Flinders,AU,2022-01-26 00:05:48,-34.5833,150.8552,77.25,70,99,7.07
18,Mayo,US,2022-01-26 00:05:48,38.8876,-76.5119,38.34,58,100,13.0
19,Mackenzie,CA,2022-01-26 00:05:49,55.2999,-123.1698,28.6,96,97,5.97
20,Antsohihy,MG,2022-01-26 00:05:49,-14.8796,47.9875,71.47,92,100,6.06
21,Lebu,CL,2022-01-26 00:01:16,-37.6167,-73.65,58.89,85,0,15.1
22,Si Satchanalai,TH,2022-01-26 00:05:49,17.5169,99.7598,67.15,62,0,2.75
23,Kambove,CD,2022-01-26 00:05:49,-10.8764,26.5969,59.65,96,100,3.58
24,Tura,IN,2022-01-26 00:05:50,25.5198,90.2201,54.81,77,20,2.82
25,Margate,GB,2022-01-26 00:05:50,51.3813,1.3862,36.75,82,100,5.01
26,Atuona,PF,2022-01-25 23:59:33,-9.8,-139.0333,78.31,74,2,18.3
27,Busselton,AU,2022-01-26 00:02:11,-33.65,115.3333,65.08,61,1,11.74
28,Souillac,MU,2022-01-26 00:05:50,-20.5167,57.5167,73.36,71,90,13.69
29,Butaritari,KI,2022-01-26 00:00:54,3.0707,172.7902,82.06,79,39,16.91
30,Fortuna,US,2022-01-26 00:01:02,40.5982,-124.1573,60.19,78,0,1.01
31,Bluff,NZ,2022-01-25 23:58:37,-46.6,168.3333,53.8,76,100,10.92
32,Taoudenni,ML,2022-01-26 00:03:21,22.6783,-3.9836,69.98,19,99,8.37
